業界,概要文
居住用リフォーム業界の会社,建造物建設工事・土木工事の際の鉄筋の加工や施工を行っている会社。湘南医療大学新築工事や茅ヶ崎市屋内温水プール・平塚駅北口昭栄ビル新築工事などの実績を持つ。また、異形棒鋼や各種ネジ鉄筋など鉄筋材料の販売や切断・加工も対応している。
自動車部品・カー用品製造業界の会社,アルミ合金を使用した鋳造によるダイカスト部品の製造を手掛ける。製造された部品は主に自動車部品として使用。加工機械や金型による作業の他、人の手によって歪取りや素材検査などの作業を行っている。また、岐阜県子育て支援エクセレント企業として選出されている。
高齢者向け福祉業界の会社,「デイサービスセンター 風ぐるま」「ヘルパーステーション 風ぐるま」「グループホーム 風ぐるま」の運営を行う。訪問介護や居宅介護支援に対応。その他、介護タクシーの運用も手掛ける。
ホテル・旅館業界の会社,阪急阪神第一ホテルグループの「呉阪急ホテル」の運営を行う。ホテル内にフランス料理のレストランを始め、鉄板焼きや日本料理などのレストランを持つ。また、最大600人を収容できる宴会場やフィットネスジムなどの施設も所有している。
タクシー業界の会社,日本交通グループの会社で、タクシー業を営んでいる。通常のタクシー運転の他、観光・キッズ・ケアなど付加価値のあるタクシーも運行。また、タクシー配車アプリからの利用も可能。
医療機器・実験機器メーカー業界の会社,医療機器や理化学機器の輸出入や製造および販売を手掛ける。主に、診断用機器や臨床用検査機器、薬局薬剤機器や手術用機器および家庭用医療機器などを取り扱い、自社ECサイトでも販売する。また、病院やクリニックおよび福祉施設などの新設開業プランニングも請け負う。
タクシー業界の会社,鹿児島市内を中心に、小型タクシーや中型タクシーなどを運行する。介護タクシーや9人まで乗車可能なジャンボタクシーも保有し、予約できることが特徴。また、桜島や霧島などの観光地を巡る観光タクシーの運行を行う。
Webサービス・アプリ運営業界の会社,美容業界向けの情報を発信するWebサイトの運営や、Webプロモーションの企画・実行を行う会社。ヘアやメイクなどの美容情報発信メディア「airly」や、まつ毛美容液をはじめとした美容用品の販売を行うECサイト「ameri」の運営を行っている。その他、業務委託のメディア運営も手掛ける。
金属部品製造業界の会社,量産部品や試作品の製造を請け負う。生産ラインの専用設備の製造にも対応。また、リジェネバーナの卸売やロボットなどを用いた自動化設備の設計および製作、プラントエンジニアリングを手がける。その他、半導体の製造や物流資材の提供も行う。
金属部品製造業界の会社,NC自動旋盤による精密加工を行っている。OA機器部品や自動車機器部品を中心に、切削部品を製造する。そのほかマシニング加工や冷間圧造加工のほか、マグネシウム加工やチタン加工にも対応している。
